"Slug","Featured","Project name","Year","Service","Category","Tool","Overview","Preview","Image 1","Image 1:alt","Image 2","Image 2:alt","Image 3","Image 3:alt","Image 4","Image 4:alt","Image 5","Image 5:alt","Image 6","Image 6:alt","Image 7","Image 7:alt","Image 8","Image 8:alt","Image 9","Image 9:alt","Image 10","Image 10:alt","Image 11","Image 11:alt","Image 12","Image 12:alt","Image 13","Image 13:alt","Video","Video 2","Video 3","Video 4","Video 5","Video 6","Link","Link 2","Link 3","Link 4","Link 5"
"dominos-redesign","true","Dominos App Redesign","2025","UI/UX","UI/UX, App Design","Figma","This mobile redesign reimagines the Domino’s ordering experience with a sharper, more intuitive user flow and a bold flat-UI aesthetic. Created as a class assignment, it became a passion project driven by my love for improving everyday digital experiences. The goal was simple: fix the frustrating UX of the existing app and make pizza ordering fast, clear, and visually cohesive.

I rebuilt the entire design system from the ground up with clean, modular components, defined states, and a flexible variable structure supporting light and dark modes. The color palette was reinvented for vibrancy and contrast, while typography stays confident yet readable. Every interaction, from micro animations to modal transitions, was refined to feel responsive and satisfying.

The new flow dramatically reduces the number of steps to browse the menu, build a pizza, and check out. Features like guest checkout and simplified navigation remove friction while keeping the brand’s personality intact. I validated improvements through peer feedback and user testing, iterating based on real behavior.

It’s a complete end-to-end Figma prototype that feels modern, efficient, and cohesive from screen to screen, a redesign that makes ordering pizza actually enjoyable.","","https://framerusercontent.com/images/DYw7W2wsYFvScmcLFOdJaep1PFU.jpg","","https://framerusercontent.com/images/WtT9NTnAsC49CJ3RmX47J2j0.jpg","","https://framerusercontent.com/images/kOubBXu96zacqi0CUQlUVFET3I.jpg","","https://framerusercontent.com/images/UZw820qOkhE7lVKOEw3YvhxPmP0.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","<iframe style=""border: 1px solid rgba(0, 0, 0, 0.1);"" width=""800"" height=""450"" src=""https://embed.figma.com/proto/dJgsXGf3LhAJuVZAnJyLqh/Dominos-Redesign-Main-File?node-id=108-916&p=f&scaling=scale-down&content-scaling=fixed&page-id=1%3A2&starting-point-node-id=108%3A914&show-proto-sidebar=1&embed-host=share"" allowfullscreen></iframe>"
"overtone-app","true","Overtone App","2025","App Development","UI/UX, Full Stack Development","TypeScript, React","Deployed as Overtone, this mobile-first drum-tuning companion was prototyped and designed in Figma, then coded in TypeScript/JavaScript, HTML, and CSS and hosted on Vercel. I built it to replace an older tuner that I stopped maintaining, with the goal of having something I trust for daily practice and gigs. The interface supports light and dark modes for studio and stage, and the app runs as a fast single-page experience so it feels instant on phones. An embedded test link is available in my portfolio so you can preview the live build below.

At its core is a Hz mic pickup written in JavaScript using the Web Audio API that listens through the device mic and detects the fundamental in real time. A locking system holds the reading once the pitch stabilizes so fine adjustments are easy and the value does not jump around. A Settings page lets you dial in detection behavior with sensitivity, noise gate, averaging window, min and max Hz, A4 reference, and input device selection. You can create kits with named drums, sizes, targets, and saved last-locked values so moving around the kit is quick and consistent. The main tuner view keeps focus with a large frequency readout, note mapping, peak hold, clear Live and Locked states, and simple cues that work in noisy rooms. Continuous deploys keep the embedded demo current while I iterate on per-lug workflows and quick session presets.","","https://framerusercontent.com/images/W3Gn8czdRbjWRXtVQgkKpIq2jQ.png","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://testapp-rust.vercel.app/",""
"velkro","true","Velkro Type Creation","2025","Typeface","Typography, Posters","Ilustrator, Indesign","I designed Velkro, a modular display typeface built entirely from geometric shapes on a strict grid, then showcased it in a finished event poster and a documented process book. The poster—titled “Older Than Dirt”—tests the face at scale with bold, blocky forms, clear hierarchy for venue/date details, and an earthy green palette anchored by an orange accent. The process book traces the build from research and sketching into grid construction, drawing, spacing/kerning, and refinement of key glyphs (W, Q, K, J, R, D), using an orange-cream visual system and texture studies to echo the project’s material theme. Together, the artifacts show how Velkro evolves from modular parts into a usable type system, and how it performs in real layout, color, and print contexts.","","https://framerusercontent.com/images/O6H3fkDACqYVR4zCpAWayRgvAs.jpg","","https://framerusercontent.com/images/kxc7u1G2UdfncxOKVCdFXLTr7w.jpg","","https://framerusercontent.com/images/phxlXGEKxwE8ha5uxXJX3MCXwE.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"pgc-app","true","PGC App","2025","App Development","UI/UX, Full Stack Development","TypeScript, React","Deployed and in daily use at Packanack Golf Course, this project delivers a member-only mobile experience and a desktop staff console with role-based authorization in Neon PostgreSQL; built primarily in TypeScript (95%) with supporting Java/HTML/CSS, hosted on Vercel, and synced in real time via Firebase for presence, messaging, and state. 

Commissioned after the club’s website rework, I designed and delivered the full flow for tee-time booking, event/tournament registration, and turn-aware food ordering (pickup, cart delivery, or at the turn). Staff operate a live, no-refresh dashboard where orders, tee sheets, and check-ins stream through Firebase listeners and Vercel APIs, while Postgres permissions gate each station’s tools: the kitchen advances tickets (Received → In Prep → Ready), cart staff mark En Route/Delivered, and the pro shop approves or adjusts tee times and pairings—instantly reflected to members and written to Postgres for audit/reporting. Highlights: a tee sheet with conflict detection, drag-to-reschedule, bulk weather-delay actions, and course/day/hole filters; food ordering with prep-time estimates, throttle controls, and a color-coded queue; and events with registration caps, waitlists, one-tap check-in, scoring exports, and live reporting—an experience that feels instant for members and like a control room for staff.","","https://framerusercontent.com/images/KOf5heXwVaHDO8hg2qopgvXswRw.png","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://framerusercontent.com/assets/YbBOlz718cExMHA0VxFJasfd57I.mp4","https://framerusercontent.com/assets/W34LCAauNfUZcnj7v5yIy9zAcw.mp4","","","","",""
"pgc-web","true","PGC Website","2025","Web Development","UI/UX, Branding, Photo","Figma, HTML, CSS","Led a ground-up redesign to modernize the club’s legacy site. I rebuilt the front-end in lightweight, accessible HTML/CSS, simplified navigation, and introduced flexible sections for the course, family activities, dining, PGA instruction, and a live events calendar. To bring the experience to life, I produced new photography and a drone flyover. The result is a fast, responsive site that feels current while keeping the club’s character (yes, there’s a playful footer-logo hover Easter egg).","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.packanackgolfclub.com/","","","",""
"halfway","true","Halfway Construction","2025","Brand Design","Identity System, Animation","Illustrator, AE","Halfway Construction is a tongue-in-cheek brand for the crew that “never quite finishes”—built to feel playful and anti-corporate. I developed a bold safety-inspired palette (traffic-cone orange, caution yellow, deep charcoal) with hazard-stripe accents and a modular logo that snaps into flexible badges, stickers, and site headers. The identity leans on chunky, construction-grade geometry and witty microcopy to keep the satire front and center. I also produced motion tests—an animated hazard-stripe loader, a bouncy cone mark, and a snappy logo build—to bring personality to web and social. The result is a tight, production-ready system that reads small-brand friendly, instantly recognizable, and delightfully “under construction.”","","https://framerusercontent.com/images/1nqMDHrtuWbMIcWhurnBwj1ZNYY.gif","","https://framerusercontent.com/images/w1XRexFjYknvRsbfRRT1jzwPI.jpg","","","","","","","","","","","","","","","","","","","","","","","","https://framerusercontent.com/assets/BzsDSZVqpBstKgTGbVQuM2LjcZY.mp4","https://framerusercontent.com/assets/WEyuXhlgk57U1wHcFbvHwfLnao.mp4","","","","","","","<iframe style=""border: 1px solid rgba(0, 0, 0, 0.1);"" width=""800"" height=""450"" src=""https://embed.figma.com/proto/lnm2xg9pL4fj9EdU4hRquw/Untitled?node-id=1-24&scaling=min-zoom&content-scaling=fixed&page-id=0%3A1&starting-point-node-id=1%3A159&embed-host=share"" allowfullscreen></iframe>","",""
"adelle-study","true","Adelle Font Study","2025","Typeface","Typography, Book","Ilustrator, Indesign","I researched the Adelle type family and wrote a critical essay on its voice, versatility, and slab-serif construction, then translated that research into a cohesive publication. I produced two editions: a black-and-white version that spotlights rhythm, spacing, and pure typographic contrast, and a color version using a warm red/cream palette for wayfinding, section markers, and tone. Building both pushed my editorial skills, baseline grid, modular scale, column architecture, while dialing in micro-typography (hierarchy, measure, leading, tracking, optical alignment, hyphenation/rags, widow/orphan control). The result is a readable, research-driven book that shows Adelle across weights and sizes and demonstrates my growth in layout systems and publication design.","","https://framerusercontent.com/images/Uh4nj1sbrrGuTT5cduKQjIXTn7g.jpg","","https://framerusercontent.com/images/rdF00FSygZlrpv3EdKVnEDvtFxk.jpg","","https://framerusercontent.com/images/GWfDz0ADjEMbDLwczQ4rqf5hA.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"octone-ink","true","Octone Ink","2024","Brand Design","Logo Design, Identity System","Ilustrator","Octone Ink is a tattoo-ink brand inspired by the purity and protective nature of octopus ink—built for artists who value safety and sustainability. I led the identity from sketchbook to system: dozens of thumbnail studies and form explorations, narrowed through iterative rounds before finalizing in Illustrator. The mark is engineered with the golden ratio—an abstract octopus constructed from golden circles—to achieve balanced geometry and instant recognizability. A clean wordmark, ratio-driven spacing, and an eco-leaning palette extend seamlessly across labels, web, and merch. The result is a production-ready identity that communicates “Unleashing nature’s purest ink” with precision, craft, and credibility.

Recognition: Published in The Monmouth Review 2024","","https://framerusercontent.com/images/fvhxmNPPkwhnGiRVNRnDJo64.png","","","","https://framerusercontent.com/images/kTIrcSyCki0mD3LRviXQSe3xo.png","","https://framerusercontent.com/images/Vt7WTmsSP7Z9xIHU5rRE41CqcMU.png","","https://framerusercontent.com/images/pRLwJovvd3CkXq4RYVbMhplo.png","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"sage","true","SageAIO","2022","App Development","UI/UX, Branding","Figma, Vue, React, Heroku","I founded and owned SageAIO, a private retail-commerce automation app created during COVID to help users secure limited-stock drops for personal buys or high-margin resale before they sold out. I launched the product solo, covering strategy, branding, UI/UX, front-end engineering, PR and graphics, customer support, and Heroku deployments. As traction grew, I hired backend developers to maintain services, increase reliability, and meet demand while I continued to lead product and design.

SageAIO shipped with a cohesive dark UI and gradient accents across a complete suite: a Home dashboard with real-time analytics, a Tasks hub for high-volume task groups, Profiles for payment and shipping, a Proxies manager for IP rotation, and Settings with license-key auth, auto updates, and advanced toggles. Discord webhooks delivered instant status and success notifications. Memberships were intentionally capped, yet we served 100+ paying users and built a loyal community on X at @SageAIO. The project concluded when I returned to school, and it ended on great terms with customers reporting strong profits and a brand and UI that outperformed much larger competitors.","","https://framerusercontent.com/images/CC2oKU1wYskQEv4iuYPx3etgKY.jpg","","https://framerusercontent.com/images/F2aZyPEu3rPCcmFabD4ep6L4.jpg","","https://framerusercontent.com/images/4V0q6SQaLCm03KLYwn6S3cwMlmE.jpg","","https://framerusercontent.com/images/9LZZPyFykkxHEsD3KhxQrlFEwGg.jpg","","https://framerusercontent.com/images/Q3FQKIj0C1hr9DzlTt9rfaaZp8.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"squisito","true","Squisito","2023","UI/UX","UI/UX, App Design","Figma","Squisito is a mobile app for Italian-food lovers to share recipes and tutorials. It was one of my first college UI projects and the spark for pursuing design. I built a reusable design system with a consistent 8-pt spacing scale, tight grid, and predictable margins and padding across screens. Typography follows a clear hierarchy, and the color palette stays cohesive across light accents and dark text for readable contrast. Components are modular and repeatable, including cards, buttons, inputs, tabs, and recipe tiles with defined states for hover, focus, loading, and errors.

I went all in and produced a fully functional Figma prototype that covers end-to-end flows: upload, discovery, profiles, search and filters, and detailed nutrition with macros. It feels polished, fast, and consistent from screen to screen. View the linked prototype at the bottom of the project page.

Recognition: Published in The Monmouth Review 2023","","https://framerusercontent.com/images/7WUXgyNkgfIPbsNqKMPXwqrWJig.jpg","","https://framerusercontent.com/images/BxWzR5iY91vvWrgjH1TEVB8.jpg","","","","https://framerusercontent.com/images/6ohWUlAl6K0yvK7g0eDhX0ISX2A.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","<iframe style=""border: 1px solid rgba(0, 0, 0, 0.1);"" width=""800"" height=""450"" src=""https://embed.figma.com/proto/e7qopVgRAitQ6J2CoLci4z/Squisito-UI-ARREV?node-id=601-21&scaling=min-zoom&content-scaling=fixed&page-id=1669%3A162202&starting-point-node-id=947%3A2684&embed-host=share"" allowfullscreen></iframe>","","",""
